Stream,Position,trap,19.03.2018,20.03.2018,21.03.2018,22.03.2018,23.03.2018,24.03.2018,25.03.2018,26.03.2018,27.03.2018,28.03.2018,29.03.2018,30.03.2018,31.03.2018,01.04.2018,02.04.2018,03.04.2018,04.04.2018,05.04.2018,06.04.2018,07.04.2018,08.04.2018,09.04.2018,10.04.2018,11.04.2018,12.04.2018,13.04.2018,14.04.2018,15.04.2018,16.04.2018,17.04.2018,18.04.2018,19.04.2018,20.04.2018,21.04.2018,22.04.2018,23.04.2018,24.04.2018,25.04.2018,26.04.2018,27.04.2018,28.04.2018,29.04.2018,30.04.2018,01.05.2018,02.05.2018,03.05.2018,04.05.2018,05.05.2018,06.05.2018,07.05.2018,08.05.2018,09.05.2018,10.05.2018,11.05.2018,12.05.2018,13.05.2018,14.05.2018,15.05.2018,16.05.2018,17.05.2018,18.05.2018,19.05.2018,20.05.2018,21.05.2018,22.05.2018,23.05.2018,24.05.2018,25.05.2018,26.05.2018,27.05.2018,28.05.2018,29.05.2018,30.05.2018,31.05.2018,01.06.2018,02.06.2018,03.06.2018,04.06.2018,05.06.2018,06.06.2018,07.06.2018,08.06.2018,09.06.2018,10.06.2018,11.06.2018,12.06.2018,13.06.2018,14.06.2018,15.06.2018,16.06.2018,17.06.2018,18.06.2018,19.06.2018,20.06.2018,21.06.2018,22.06.2018,23.06.2018,24.06.2018,25.06.2018,26.06.2018,27.06.2018,28.06.2018,29.06.2018,30.06.2018,01.07.2018,02.07.2018,03.07.2018,04.07.2018,05.07.2018,06.07.2018,07.07.2018,08.07.2018,09.07.2018,10.07.2018,11.07.2018,12.07.2018,13.07.2018,14.07.2018,15.07.2018,16.07.2018,17.07.2018,18.07.2018,19.07.2018,20.07.2018,21.07.2018,22.07.2018,23.07.2018,24.07.2018,25.07.2018,26.07.2018,27.07.2018,28.07.2018,29.07.2018,30.07.2018,31.07.2018,01.08.2018,02.08.2018,03.08.2018,04.08.2018,05.08.2018,06.08.2018,07.08.2018,08.08.2018,09.08.2018,10.08.2018,11.08.2018,12.08.2018,13.08.2018,14.08.2018,15.08.2018,16.08.2018,17.08.2018,18.08.2018,19.08.2018,20.08.2018,21.08.2018,22.08.2018,23.08.2018,24.08.2018,25.08.2018,26.08.2018,27.08.2018,28.08.2018,29.08.2018,30.08.2018,31.08.2018,01.09.2018,02.09.2018,03.09.2018,04.09.2018,05.09.2018,06.09.2018,07.09.2018,08.09.2018,09.09.2018,10.09.2018,11.09.2018,12.09.2018,13.09.2018
Dierbach,down,1,y,y,y,4,y,y,y,4,y,y,3,y,y,y,y,5,y,y,3,y,y,3,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,y,5,y,2,y,y,y,4,y,2,n,n,n,n,5,y,y,y,4,y,y,3,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,2,y,y,y,y,5,y,y,3,y,y,y,4,y,2,y,y,y,y,5,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,2,y,y,y,y,5,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,2,n
Dierbach,down,2,y,y,y,4,y,y,y,4,y,y,3,y,y,y,y,5,y,y,3,y,y,3,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,y,5,y,2,y,y,y,4,y,2,n,n,n,n,5,y,y,y,4,y,y,3,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,2,y,y,y,y,5,y,y,3,y,y,y,4,y,2,y,y,y,y,5,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,2,y,y,y,y,5,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,2,n
Klingbach,up,1,y,y,y,4,y,y,y,4,y,y,3,y,y,y,y,5,y,y,3,y,y,3,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,y,5,y,2,n,n,n,4,y,2,n,n,n,n,5,n,n,n,4,n,n,3,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,2,y,y,y,y,5,y,y,3,y,y,y,4,y,2,y,y,y,y,5,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,2,y,y,y,y,5,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,2,n
Klingbach,up,2,y,y,y,4,y,y,y,4,y,y,3,y,y,y,y,5,y,y,3,y,y,3,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,n,n,3,y,y,y,y,5,y,2,n,n,n,4,y,2,n,n,n,n,5,n,n,n,4,n,n,3,n,n,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,n,n,n,4,y,2,y,y,y,y,5,y,y,3,y,y,y,4,y,2,y,y,y,y,5,y,y,3,y,y,y,4,y,y,3,n,n,n,4,y,2,y,y,y,y,5,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,2,n
Klingbach,down,1,y,y,y,4,y,y,y,4,y,y,3,y,y,y,y,5,y,y,3,y,y,3,y,y,3,n,n,n,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,y,5,y,2,y,y,y,4,y,2,y,y,y,y,5,y,y,y,4,y,y,3,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,2,y,y,y,y,5,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,2,y,y,y,y,5,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,2,n
Klingbach,down,2,y,y,y,4,y,y,y,4,y,y,3,y,y,y,y,5,y,y,3,y,y,3,y,y,3,n,n,n,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,n,n,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,y,5,y,2,y,y,y,4,y,2,n,n,n,n,5,y,y,y,4,n,n,3,n,n,3,y,y,y,4,y,y,3,n,n,n,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,2,y,y,y,y,5,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,2,y,y,y,y,5,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,2,n
Kaiserbach,up,1,y,y,y,4,y,y,y,4,y,y,3,y,y,y,y,5,y,y,3,y,y,3,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,n,n,n,4,y,y,3,y,y,y,y,5,y,2,n,n,n,4,y,2,n,n,n,n,5,y,y,y,4,y,y,3,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,y,5,y,2,y,y,y,4,y,y,3,y,y,y,4,y,2,y,y,y,y,5,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,2,y,y,y,y,5,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,2,n
Kaiserbach,up,2,y,y,y,4,y,y,y,4,y,y,3,y,y,y,y,5,y,y,3,y,y,3,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,n,n,n,4,y,y,3,y,y,y,y,5,y,2,n,n,n,4,y,2,n,n,n,n,5,y,y,y,4,y,y,3,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,y,5,y,2,y,y,y,4,y,y,3,y,y,y,4,y,2,y,y,y,y,5,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,2,y,y,y,y,5,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,2,n
Kaiserbach,down,1,y,y,y,4,y,y,y,4,y,y,3,y,y,y,y,5,y,y,3,y,y,3,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,y,5,y,2,n,n,n,4,y,2,n,n,n,n,5,y,y,y,4,y,y,3,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,2,y,y,y,y,5,y,y,3,y,y,y,4,y,y,3,n,n,n,4,y,2,y,y,y,y,5,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,2,n
Kaiserbach,down,2,y,y,y,4,y,y,y,4,y,y,3,y,y,y,y,5,y,y,3,y,y,3,y,y,3,n,n,n,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,n,n,n,4,y,y,3,y,y,y,y,5,y,2,n,n,n,4,y,2,n,n,n,n,5,y,y,y,4,y,y,3,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,2,y,y,y,y,5,y,y,3,y,y,y,4,y,y,3,n,n,n,4,y,2,y,y,y,y,5,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,2,n
Isenach,up,1,n,y,y,3,y,y,y,y,5,y,2,y,y,y,y,5,y,y,3,y,y,3,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,y,5,y,2,y,y,y,y,5,y,2,y,y,y,4,y,2,y,y,y,y,5,y,y,y,y,5,y,2,y,y,y,4,y,y,3,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,y,5,y,2,y,y,y,4,y,y,3,y,y,y,y,5,y,2,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,y,5,y,y,2,y,y,y,4,y,2,y,y,y,y,5,y,2,y,y,y,y,5,y,2
Isenach,up,2,n,y,y,3,y,y,y,y,5,y,2,y,y,y,y,5,y,y,3,y,y,3,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,y,5,y,2,y,y,y,y,5,y,2,y,y,y,4,y,2,y,y,y,y,5,y,y,y,y,5,y,2,y,y,y,4,y,y,3,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,y,5,y,2,y,y,y,4,y,y,3,y,y,y,y,5,y,2,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,y,5,y,y,2,y,y,y,4,y,2,y,y,y,y,5,y,2,y,y,y,y,5,y,2
Isenach,down,1,n,y,y,3,y,y,y,y,5,y,2,y,y,y,y,5,y,y,3,y,y,3,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,y,5,y,2,y,y,y,y,5,y,2,y,y,y,4,y,2,y,y,y,y,5,y,y,y,y,5,y,2,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,y,5,y,2,y,y,y,4,y,y,3,y,y,y,y,5,y,2,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,y,5,y,y,2,y,y,y,4,y,2,y,y,y,y,5,y,2,y,y,y,y,5,y,2
Isenach,down,2,n,y,y,3,y,y,y,y,5,y,2,y,y,y,y,5,y,y,3,y,y,3,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,n,n,n,n,5,y,2,y,y,y,y,5,y,2,y,y,y,4,y,2,y,y,y,y,5,y,y,y,y,5,y,2,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,y,5,y,2,y,y,y,4,y,y,3,y,y,y,y,5,y,2,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,y,5,y,y,2,y,y,y,4,y,2,y,y,y,y,5,y,2,y,y,y,y,5,y,2
Kropsbach,up,1,n,y,y,3,y,y,y,y,5,y,2,y,y,y,y,5,y,y,3,y,y,3,y,y,3,n,n,n,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,y,5,y,2,y,y,y,y,5,y,2,n,n,n,4,n,2,n,n,n,n,5,n,n,n,4,y,y,3,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,n,n,n,4,n,n,3,y,y,y,y,5,y,2,y,y,y,4,y,y,3,y,y,y,4,y,2,y,y,y,y,5,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,2,y,y,y,y,5,y,y,3,y,y,y,y,5,y,2,y,y,y,y,5,y,2
Kropsbach,up,2,n,y,y,3,y,y,y,y,5,y,2,y,y,y,y,5,y,y,3,y,y,3,y,y,3,n,n,n,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,y,5,y,2,y,y,y,y,5,y,2,n,n,n,4,n,2,n,n,n,n,5,n,n,n,4,y,y,3,n,n,3,n,n,n,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,n,n,n,4,n,n,3,n,n,n,n,5,y,2,y,y,y,4,y,y,3,y,y,y,4,y,2,y,y,y,y,5,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,2,y,y,y,y,5,y,y,3,y,y,y,y,5,y,2,y,y,y,y,5,y,2
Kropsbach,down,1,n,y,y,3,y,y,y,y,5,n,2,n,n,n,n,5,n,n,3,y,y,3,y,y,3,n,n,n,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,n,n,n,n,5,y,2,y,y,y,y,5,y,2,y*,y*,y*,4,n,2,n,n,n,n,5,n,n,n,4,y,y,3,n,n,3,n,n,n,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,y,5,y,2,n,n,n,4,y,y,3,y,y,y,4,y,2,y,y,y,y,5,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,2,y,y,y,y,5,y,y,3,y,y,y,y,5,y,2,y,y,y,y,5,y,2
Kropsbach,down,2,n,y,y,3,y,y,y,y,5,n,2,n,n,n,n,5,n,n,3,y,y,3,y,y,3,n,n,n,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,n,n,n,n,5,y,2,y,y,y,y,5,y,2,y*,y*,y*,4,n,2,n,n,n,n,5,n,n,n,4,y,y,3,n,n,3,n,n,n,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,y,5,y,2,n,n,n,4,y,y,3,y,y,y,4,y,2,y,y,y,y,5,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,2,y,y,y,y,5,y,y,3,y,y,y,y,5,y,2,y,y,y,y,5,y,2
Triefenbach,up,1,n,y,y,3,y,y,y,y,5,y,2,y,y,y,y,5,y,y,3,y,y,3,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,y,5,y,2,y,y,y,y,5,y,2,n,n,n,4,y,2,y,y,y,y,5,y,y,y,4,y,y,3,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,y,5,1,y,y,y,y,5,y,y,3,y,y,y,4,y,2,y,y,y,y,5,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,2,y,y,y,y,5,y,y,3,y,y,y,y,5,y,2,y,y,y,y,5,y,2
Triefenbach,up,2,n,y,y,3,y,y,y,y,5,y,2,y,y,y,y,5,y,y,3,y,y,3,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,y,5,y,2,y,y,y,y,5,y,2,n,n,n,4,y,2,n,n,n,n,5,y,y,y,4,y,y,3,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,y,5,1,y,y,y,y,5,y,y,3,y,y,y,4,y,2,y,y,y,y,5,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,2,y,y,y,y,5,y,y,3,y,y,y,y,5,y,2,y,y,y,y,5,y,2
Triefenbach,down,1,n,y,y,3,y,y,y,y,5,y,2,y,y,y,y,5,y,y,3,y,y,3,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,y,5,y,2,y,y,y,y,5,y,2,y,y,y,4,y,2,y,y,y,y,5,y,y,y,4,y,y,3,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,y,3,y,y,y,y,5,1,y,y,y,y,5,y,y,3,y,y,y,4,y,2,y,y,y,y,5,y,y,3,y,y,y,4,y,y,3,y,y,y,4,y,2,y,y,y,y,5,y,y,3,y,y,y,y,5,y,2,y,y,y,y,5,y,2
